part_no,part_name,model,customer,cav,cycle_time,weight_part,weight_runner,spq,type_material,grade_material,color_material,mold_id,machine_id,scrap_rate,changeover_min
PN-6502-A,Housing Outer,MDL-89,Astra Honda,16,41.1,235.33,36.15,50,PP,PP-GF-30,Grey,MLD-703,MC-08 (650T),1.8,30
PN-2618-C,Cover Outer,MDL-36,Samsung,1,48.7,320.03,44.39,200,ABS,ABS-GF-30,White,MLD-665,MC-05 (250T),2.96,90
PN-2712-B,Lever Rear,MDL-82,Astra Honda,1,12.3,62.19,7.76,100,POM,POM-GP-100,Black,MLD-363,MC-03 (110T),1.73,120
PN-4772-A,Gear Front,MDL-79,Toyota Motor,16,50.9,343.31,21.06,50,PMMA,PMMA-HI-121,Natural,MLD-844,MC-05 (250T),1.79,60
PN-2633-A,Bracket Front,MDL-71,Toyota Motor,16,53.4,345.63,21.55,100,PC,PC-Standard,White,MLD-500,MC-07 (450T),2.19,60
PN-4268-B,Gear Rear,MDL-19,Astra Honda,16,13.7,86.28,12.42,100,ABS,ABS-V0-55,Grey,MLD-826,MC-03 (110T),2.38,90
PN-6588-A,Gear Outer,MDL-65,Yamaha Music,8,41,317.69,32.16,500,PP,PP-HI-121,Black,MLD-542,MC-08 (650T),0.87,45
PN-6495-C,Housing Front,MDL-63,Astra Honda,2,42.1,275.44,43.51,100,PP,PP-GP-100,Grey,MLD-435,MC-06 (350T),1.74,90
PN-7968-C,Housing Inner,MDL-82,Samsung,16,62,443.05,74.03,100,PC,PC-Standard,Red,MLD-359,MC-06 (350T),1.16,60
PN-4641-B,Cover Rear,MDL-77,Toyota Motor,1,47.5,288.09,32.5,500,PP,PP-GP-100,Natural,MLD-957,MC-05 (250T),0.82,60
PN-3703-A,Panel Outer,MDL-94,LG Electronics,1,39,210.89,39.63,500,PC,PC-HI-121,White,MLD-939,MC-07 (450T),2.17,60
PN-9771-A,Cover Rear,MDL-72,LG Electronics,1,45.1,311.21,54.06,50,PP,PP-Standard,Black,MLD-333,MC-05 (250T),1.8,120
PN-8440-B,Bracket Inner,MDL-74,Toyota Motor,16,10.2,20.01,2.12,200,PA6,PA6-HI-121,White,MLD-617,MC-02 (80T),0.86,90
PN-1370-B,Housing Rear,MDL-22,Astra Honda,4,31.4,142.88,15.54,100,POM,POM-HI-121,Black,MLD-998,MC-03 (110T),1.46,120
PN-4223-B,Cover Outer,MDL-59,Yamaha Music,16,21.4,62.94,11.42,50,PC,PC-GP-100,Black,MLD-178,MC-03 (110T),2.96,45
PN-7379-B,Bracket Inner,MDL-46,LG Electronics,16,45,315.35,27.55,200,ABS,ABS-Standard,Black,MLD-422,MC-06 (350T),2.88,120
PN-2474-C,Cap Inner,MDL-82,Astra Honda,8,20.1,81.72,13.49,500,PA6,PA6-Standard,Grey,MLD-869,MC-04 (150T),2,45
PN-8068-A,Gear Outer,MDL-52,Yamaha Music,8,31.4,242.35,31.29,1000,POM,POM-Standard,Red,MLD-763,MC-06 (350T),1.62,90
PN-8670-C,Cover Outer,MDL-56,Samsung,2,22.5,150.75,25.19,500,PC,PC-GP-100,Red,MLD-536,MC-04 (150T),0.63,60
PN-6847-B,Cover Front,MDL-14,Toyota Motor,2,25.8,188.48,29.91,1000,PP,PP-V0-55,Grey,MLD-895,MC-01 (50T),2.06,60
PN-4255-B,Cap Front,MDL-66,Toyota Motor,2,59.4,419.68,51.97,200,PC,PC-Standard,Blue,MLD-409,MC-06 (350T),2.1,90
PN-7971-A,Panel Outer,MDL-34,Astra Honda,1,36,254.05,21.77,100,ABS,ABS-Standard,Black,MLD-539,MC-06 (350T),0.74,120
PN-4391-A,Bracket Rear,MDL-78,LG Electronics,2,63.7,472.31,83.46,200,PMMA,PMMA-GP-100,Grey,MLD-113,MC-07 (450T),0.51,30
